component_id,component,sub_component,shape_type,count,level_name,min_height_m,height_m,thickness_m,width_m,depth_m,offset_x_m,offset_y_m,rotation_deg,color_hex,material,source_ref,modeled_by,checked_by,qa_status
C0001,facade,column,column_high_rect,51,level_2,6.97,11.627,0,0.53,0.29,0,0,0,#D7BB81,plaster,A108,PN,,
C0002,facade,column_cap,column_high_cap_rect,51,level_2,6.97,11.627,0,0.8,0.39,0,0,0,#D7BB81,plaster,A108,PN,,
C0003,facade,column,column_low_rect,68,level_2,6.97,10.29,0,0.5,0.25,0,0,0,#D7BB81,plaster,A108,PN,,
C0004,facade,column_cap,column_low_cap_rect,68,level_2,6.97,10.29,0,0.6,0.35,0,0,0,#D7BB81,plaster,A108,PN,,
C0005,facade,column,column_rect,40,roof,13.082,16.382,0,0.45,0.225,0,0,0,#D7BB81,plaster,A108,PN,,
C0006,facade,column_cap,column_cap_rect,40,roof,13.082,16.382,0,0.5,0.3,0,0,0,#E9D9B8,plaster,A108,PN,,
C0007,window,upper_arch,window_arch_rect,26,ground,2.794,5.542,auto,1.83,auto,0,0,0,#3F6C3E,n/a,A110|A108,AV,,
C0008,window,lower_rect,window_rect,10,ground,2.794,5.314,auto,1.46,auto,0,0,0,#3F6C3E,n/a,A110|A108,AV,,
C0009,window,upper_arch,window_arch_rect,34,level_1,7.89,11.21,auto,1.89,auto,0,0,0,#43A973,n/a,A110|A108,AV,,
C0010,window,lower_rect,window_rect,10,level_1,7.89,10.27,auto,1.15,auto,0,0,0,#43A973,n/a,A110|A108,AV,,
C0011,window,lower_rect,window_rect,14,level_2,14.382,16.382,auto,1.448,auto,0,0,0,#40A03F,n/a,A110|A108,AV,,
C0012,roof,wing_left,roof_tier_wing_left,1,roof,13.082,17.98,0.213,auto,auto,0,0,0,#ffa46a,tile,A113,TN,,
C0013,roof,wing_right,roof_tier_wing_right,1,roof,13.082,17.98,0.213,auto,auto,0,0,0,#ffa46a,tile,A113,TN,,
C0014,mass,wing_mass_left,mass_block,1,all,-0.63,13.082,13.712,16.20,auto,0,0,0,#c8c57c,plaster,A113,TN,,
C0015,mass,wing_mass_right,mass_block,1,all,-0.63,13.082,13.712,16.20,auto,0,0,0,#c8c57c,plaster,A113,TN,,
C0016,roof,upper_bay_left,roof_bay,1,roof,17.98,18.018,0.213,1.4351,auto,0,0,0,#ffa46a,tile,A105,TN,,
C0017,roof,upper_bay_right,roof_bay,1,roof,17.98,18.018,0.213,1.4351,auto,0,0,0,#ffa46a,tile,A105,TN,,
C0018,roof,roof_top_bay,roof_tier,1,roof,17.98,22.84,0.213,auto,auto,0,0,0,#ffa46a,tile,A113,TN,,
C0019,entrance,grand_arch,arch_zone,1,ground,0,11.4,0.33,auto,auto,0,0,0,#E4CF9E,stone,A105|A108,QT,,
C0020,stairs,front_stair,step_band,1,ground,0,0.4725,0.2,1,0.28,0,0,0,#B88A62,concrete,A105,QT,,
C0021,decor,cornice_high,cornice_band,1,level_1,8.95,9.3,0.1,auto,auto,0,0,0,#E7D2A8,plaster,A108,QT,,
C0022,envelope,building_width,scalar,1,all,0,0,0,80,auto,0,0,0,#000000,n/a,A105|A114,MN,,
C0023,envelope,building_depth,scalar,1,all,0,0,0,auto,16.2,0,0,0,#000000,n/a,A105|A114,MN,,
C0024,mass,base_mass,mass_block,1,ground,0,6.03,0,67.23,0.45,0,0,0,#D7BB81,plaster,A105|A108,PN,,
C0025,mass,main_body,mass_block,1,all,0,17.98,0,67.23,1.052,0,0,0,#D7BB81,plaster,A105|A108,PN,,
C0026,mass,upper_block,mass_block,1,level_2,9.8,14,0.25,auto,auto,0,0,0,#DBC490,plaster,A108,QT,,
C0027,mass,portal_mass,mass_block,1,ground,0,11.5,auto,auto,auto,0,0,0,#D4B97F,plaster,A105|A108,QT,,
C0028,roof,center_pyramid,roof_center_pyramid,1,roof,17.98,22.84,0.213,auto,auto,0,0,0,#E98D69,tile,A105|A114,QT,,
C0029,entrance,grand_arch_inner,arch_inner,1,ground,3.804,12.968,auto,auto,auto,0,0,0,#477B84,n/a,A108,AV,,
C0030,decor,cornice_low,cornice_band,1,level_1,5.1,5.45,auto,auto,auto,0,0,0,#0B710C,plaster,A108,AV,,
C0031,decor,cornice_roof,cornice_band,1,roof,12.736,13.022,auto,auto,auto,0,0,0,#0B710C,plaster,A108,AV,,
